유형 ,시도 ,시군 ,단지명 ,조성상태 ,지정면적(천제곱미터),관리면적(천제곱미터),산업시설구역_전체면적(천제곱미터),산업시설구역_분양대상(천제곱미터),산업시설구역_분양(천제곱미터),산업시설구역_미분양(천제곱미터),산업시설구역_분양률(퍼센트),입주업체(개),가동업체(개)
일반,대구,달서구,대구출판,완료,242 ,242 ,94 ,94 ,94 ,0 ,100 ,133 ,133 
일반,대구,동구,대구이시아폴리스,완료,1176 ,1176 ,169 ,169 ,169 ,0 ,100 ,55 ,54 
일반,대구,북구,검단,완료,782 ,782 ,570 ,570 ,570 ,0 ,100 ,586 ,583 
일반,대구,서구,대구염색[재생사업지구],완료,849 ,849 ,589 ,589 ,589 ,0 ,100 ,127 ,123 
일반,대구,달성군,달성1차,완료,4078 ,4078 ,2551 ,2551 ,2551 ,0 ,100 ,306 ,278 
일반,대구,달성군,달성2차 (① + ②),완료,2705 ,2377 ,1482 ,1482 ,1482 ,0 ,100 ,307 ,283 
일반,대구,달성군,   달성2차 ①,완료,2601 ,2273 ,1378 ,1378 ,1378 ,0 ,100 ,301 ,277 
일반,대구,달성군,   달성2차(외국인) ②,완료,104 ,104 ,104 ,104 ,104 ,0 ,100 ,6 ,6 
일반,대구,달성군,대구테크노폴리스,조성중,7259 ,7259 ,2892 ,2892 ,2139 ,753 ,74 ,79 ,79 
일반,대구,달성군,성서5차첨단,완료,1470 ,1407 ,684 ,684 ,684 ,0 ,100 ,129 ,129 
일반,대구,북구,대구제3[재생사업지구],완료,1685 ,1684 ,1284 ,1284 ,1284 ,0 ,100 ,2529 ,2529 
일반,대구,달성군,대성하이스코(구: 달성대성하이스코),완료,57 ,57 ,40 ,40 ,28 ,12 ,70 ,2 ,0 
일반,대구,북구,금호워터폴리스,조성중,1193 ,1193 ,346 ,346 ,181 ,165 ,52 ,0 ,0 
일반,대구,서구,서대구[재생사업지구],완료,2662 ,2661 ,1285 ,1285 ,1285 ,0 ,100 ,2562 ,2497 
일반,인천,미추홀구,인천기계,완료,350 ,350 ,291 ,291 ,291 ,0 ,100 ,179 ,177 
일반,인천,미추홀구,인천,완료,1136 ,1136 ,1001 ,1001 ,1001 ,0 ,100 ,608 ,606 
일반,인천,서구,뷰티풀파크(구:인천검단),완료,2251 ,2250 ,1381 ,1381 ,1341 ,40 ,97 ,1287 ,945 
일반,인천,서구,인천서부,완료,939 ,938 ,770 ,770 ,770 ,0 ,100 ,316 ,309 
일반,인천,서구,청라1지구,완료,194 ,194 ,129 ,129 ,129 ,0 ,100 ,35 ,35 
일반,인천,연수구,송도지식정보,완료,2402 ,2400 ,657 ,657 ,614 ,43 ,93 ,137 ,89 
일반,인천,강화군,강화하점,완료,59 ,59 ,43 ,43 ,43 ,0 ,100 ,11 ,10 
일반,인천,강화군,강화,완료,462 ,462 ,320 ,320 ,320 ,0 ,100 ,80 ,67 
일반,인천,계양구,서운,완료,525 ,525 ,315 ,315 ,315 ,0 ,100 ,70 ,69 
일반,인천,서구,인천서부자원순환특화,완료,56 ,56 ,38 ,38 ,38 ,0 ,100 ,23 ,20 
일반,인천,서구,I-FoodPark,조성중,283 ,273 ,172 ,172 ,172 ,0 ,100 ,85 ,70 
일반,인천,중구,영종항공(인천경제자유구역),조성중,495 ,495 ,320 ,320 ,0 ,320 ,0 ,0 ,0 
일반,인천,계양구,계양,조성중,243 ,243 ,131 ,131 ,100 ,31 ,76 ,0 ,0 
일반,인천,서구,인천검단2일반산업단지,미개발,770 ,770 ,442 ,0 ,0 ,0 ,0 ,0 ,0 
일반,광주,광산구,평동 (① + ②),완료,5049 ,5047 ,3372 ,3372 ,3372 ,0 ,100 ,703 ,702 
일반,광주,광산구,   평동 ①,완료,4950 ,4948 ,3273 ,3273 ,3273 ,0 ,100 ,697 ,697 
일반,광주,광산구,   평동(월전중소협력외국인) ②,완료,99 ,99 ,99 ,99 ,99 ,0 ,100 ,6 ,5 
일반,광주,광산구,소촌,완료,190 ,189 ,106 ,106 ,106 ,0 ,100 ,64 ,64 
일반,광주,남구,송암,완료,415 ,414 ,304 ,304 ,304 ,0 ,100 ,64 ,64 
일반,광주,북구,본촌,완료,877 ,878 ,766 ,766 ,766 ,0 ,100 ,146 ,135 
일반,광주,광산구,진곡,완료,1909 ,1909 ,998 ,998 ,998 ,0 ,100 ,416 ,346 
일반,광주,광산구,평동3차(1단계),완료,1175 ,1175 ,652 ,652 ,652 ,0 ,100 ,152 ,128 
일반,광주,남구,광주에너지밸리,조성중,918 ,918 ,345 ,345 ,226 ,119 ,66 ,33 ,0 
일반,광주,광산구,하남[재생사업지구:부분],완료,5922 ,5920 ,4451 ,4451 ,4451 ,0 ,100 ,1087 ,1087 
일반,광주,북구,광주연구개발특구첨단3지구(광주경제자유구역),조성중,3629 ,3617 ,1136 ,0 ,0 ,0 ,0 ,7 ,0 
일반,대전,동구,하소친환경,완료,306 ,306 ,152 ,152 ,152 ,0 ,100 ,66 ,63 
일반,대전,대덕구,대전산업단지[재생사업지구] (① + ② + ③),완료,2317 ,2317 ,1643 ,1643 ,1643 ,0 ,100 ,1083 ,886 
일반,대전,대덕구,   대전제1 ①,완료,470 ,470 ,400 ,400 ,400 ,0 ,100 ,190 ,170 
일반,대전,대덕구,   대전제2 ②,완료,735 ,735 ,649 ,649 ,649 ,0 ,100 ,680 ,522 
일반,대전,대덕구,   대전(주변지역) ③,완료,1112 ,1112 ,594 ,594 ,594 ,0 ,100 ,213 ,194 
일반,대전,서구,평촌,조성중,855 ,854 ,484 ,28 ,28 ,0 ,100 ,3 ,0 
일반,울산,북구,매곡,완료,565 ,565 ,321 ,321 ,312 ,9 ,97 ,58 ,58 
일반,울산,북구,모듈화,완료,863 ,863 ,493 ,493 ,493 ,0 ,100 ,32 ,30 
일반,울산,북구,이화,조성중,694 ,694 ,305 ,305 ,305 ,0 ,100 ,1 ,1 
일반,울산,북구,중산,조성중,148 ,148 ,81 ,69 ,69 ,0 ,100 ,19 ,19 
일반,울산,울주군,길천,완료,1515 ,1503 ,881 ,881 ,808 ,73 ,92 ,100 ,88 
일반,울산,울주군,신 (① + ②),완료,3261 ,2423 ,1169 ,1169 ,1169 ,0 ,100 ,111 ,109 
일반,울산,울주군,   신 ①,완료,2423 ,1604 ,683 ,683 ,683 ,0 ,100 ,71 ,69 
일반,울산,울주군,   울산(자유무역) ②,완료,838 ,819 ,486 ,486 ,486 ,0 ,100 ,40 ,40 
일반,울산,울주군,와지,완료,126 ,125 ,99 ,99 ,99 ,0 ,100 ,32 ,32 
일반,울산,울주군,울산 High Tech Valley,조성중,2100 ,1939 ,1455 ,139 ,139 ,0 ,100 ,19 ,18 
일반,울산,울주군,봉계,완료,255 ,255 ,174 ,174 ,174 ,0 ,100 ,10 ,9 
일반,울산,울주군,KCC울산,완료,1222 ,1165 ,856 ,856 ,819 ,37 ,96 ,52 ,42 
일반,울산,울주군,전읍,완료,72 ,72 ,52 ,52 ,52 ,0 ,100 ,4 ,4 
일반,울산,울주군,반천,완료,1373 ,1373 ,853 ,853 ,853 ,0 ,100 ,83 ,72 
일반,울산,울주군,작동,조성중,150 ,150 ,125 ,73 ,73 ,0 ,100 ,0 ,0 
일반,울산,북구,중산2차,완료,365 ,365 ,223 ,223 ,223 ,0 ,100 ,41 ,40 
일반,울산,북구,매곡2,완료,77 ,77 ,45 ,45 ,45 ,0 ,100 ,12 ,12 
일반,울산,북구,매곡3,완료,158 ,158 ,118 ,118 ,118 ,0 ,100 ,19 ,18 
일반,울산,남구,울산테크노,완료,1287 ,1287 ,669 ,669 ,669 ,0 ,100 ,150 ,143 
일반,울산,울주군,GW,완료,454 ,454 ,337 ,337 ,278 ,59 ,82 ,46 ,31 
일반,울산,북구,모바일테크밸리,조성중,315 ,315 ,169 ,169 ,169 ,0 ,100 ,25 ,18 
일반,울산,울주군,에너지융합,조성중,1017 ,1020 ,576 ,576 ,531 ,45 ,92 ,48 ,48 
일반,울산,울주군,청양,미개발,201 ,200 ,135 ,0 ,0 ,0 ,0 ,0 ,0 
일반,울산,울주군,머거본,미개발,56 ,56 ,37 ,0 ,0 ,0 ,0 ,0 ,0 
일반,울산,울주군,울산도하일반산업단지,미개발,423 ,423 ,163 ,0 ,0 ,0 ,0 ,0 ,0 
일반,울산,울주군,울산KTX역세권일반산업단지,미개발,421 ,421 ,125 ,0 ,0 ,0 ,0 ,0 ,0 
일반,울산,울주군,대대일반산업단지,미개발,115 ,115 ,59 ,0 ,0 ,0 ,0 ,0 ,0 
일반,울산,동구,자동차일반산업단지[구:남목],미개발,528 ,527 ,166 ,0 ,0 ,0 ,0 ,0 ,0 
일반,세종,세종,소정,완료,272 ,272 ,193 ,193 ,193 ,0 ,100 ,1 ,1 
일반,세종,세종,월산,완료,1380 ,1380 ,955 ,955 ,955 ,0 ,100 ,0 ,0 
일반,세종,세종,전의,완료,481 ,481 ,345 ,345 ,345 ,0 ,100 ,8 ,8 
일반,세종,세종,전의2,완료,867 ,866 ,591 ,591 ,591 ,0 ,100 ,32 ,30 
일반,세종,세종,조치원,완료,940 ,940 ,759 ,759 ,759 ,0 ,100 ,12 ,11 
일반,세종,세종,명학,완료,838 ,838 ,568 ,568 ,568 ,0 ,100 ,37 ,36 
일반,세종,세종,부강(구 부용),완료,562 ,562 ,398 ,398 ,398 ,0 ,100 ,11 ,11 
일반,세종,세종,세종미래,완료,560 ,560 ,386 ,386 ,386 ,0 ,100 ,24 ,16 
일반,세종,세종,세종스마트그린,조성중,849 ,832 ,530 ,530 ,524 ,6 ,99 ,0 ,0 
일반,세종,세종,세종벤처밸리,미개발,611 ,590 ,323 ,0 ,0 ,0 ,0 ,0 ,0 
일반,세종,세종,세종첨단,완료,664 ,663 ,443 ,443 ,443 ,0 ,100 ,25 ,24 
일반,세종,세종,전동,조성중,140 ,138 ,86 ,82 ,44 ,38 ,54 ,0 ,0 
일반,세종,세종,세종복합,미개발,829 ,827 ,470 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,김포시,김포항공,완료,336 ,336 ,202 ,202 ,202 ,0 ,100 ,8 ,8 
일반,경기,김포시,상마,완료,79 ,79 ,63 ,63 ,63 ,0 ,100 ,37 ,37 
일반,경기,김포시,양촌,완료,1686 ,1686 ,939 ,939 ,939 ,0 ,100 ,963 ,960 
일반,경기,김포시,율생,완료,49 ,49 ,34 ,34 ,34 ,0 ,100 ,13 ,13 
일반,경기,김포시,통진(팬택),완료,34 ,34 ,30 ,30 ,30 ,0 ,100 ,4 ,3 
일반,경기,김포시,학운,완료,55 ,55 ,39 ,39 ,39 ,0 ,100 ,34 ,34 
일반,경기,김포시,학운2,완료,634 ,634 ,402 ,402 ,402 ,0 ,100 ,126 ,122 
일반,경기,동두천시,동두천,완료,260 ,260 ,150 ,150 ,150 ,0 ,100 ,54 ,54 
일반,경기,동두천시,동두천2,완료,185 ,185 ,130 ,130 ,130 ,0 ,100 ,29 ,29 
일반,경기,동두천시,상봉암,완료,53 ,53 ,46 ,46 ,46 ,0 ,100 ,7 ,7 
일반,경기,부천시,오정,완료,291 ,291 ,129 ,129 ,129 ,0 ,100 ,103 ,103 
일반,경기,성남시,성남[재생사업지구],완료,1511 ,1511 ,1164 ,1164 ,1164 ,0 ,100 ,2877 ,2873 
일반,경기,안산시,반월도금,완료,162 ,161 ,144 ,144 ,144 ,0 ,100 ,103 ,103 
일반,경기,안성시,가율,완료,58 ,58 ,50 ,50 ,50 ,0 ,100 ,3 ,3 
일반,경기,안성시,공도,완료,69 ,69 ,63 ,63 ,63 ,0 ,100 ,5 ,5 
일반,경기,안성시,금산,완료,58 ,58 ,34 ,34 ,34 ,0 ,100 ,16 ,13 
일반,경기,안성시,덕산,완료,59 ,59 ,48 ,48 ,48 ,0 ,100 ,12 ,12 
일반,경기,안성시,동항,완료,57 ,57 ,47 ,47 ,47 ,0 ,100 ,15 ,13 
일반,경기,안성시,두교,완료,56 ,56 ,48 ,48 ,48 ,0 ,100 ,9 ,8 
일반,경기,안성시,미양2,완료,160 ,160 ,144 ,144 ,144 ,0 ,100 ,6 ,5 
일반,경기,안성시,방초,완료,60 ,60 ,42 ,42 ,42 ,0 ,100 ,9 ,9 
일반,경기,안성시,안성제1,완료,668 ,668 ,549 ,549 ,549 ,0 ,100 ,42 ,38 
일반,경기,안성시,안성제2,완료,716 ,716 ,549 ,549 ,549 ,0 ,100 ,53 ,50 
일반,경기,안성시,안성제3,완료,397 ,397 ,285 ,285 ,285 ,0 ,100 ,50 ,44 
일반,경기,안성시,안성제4,완료,811 ,811 ,517 ,517 ,495 ,22 ,96 ,25 ,24 
일반,경기,안성시,용월,완료,59 ,59 ,40 ,40 ,40 ,0 ,100 ,12 ,12 
일반,경기,안성시,원곡,완료,100 ,100 ,79 ,79 ,79 ,0 ,100 ,6 ,6 
일반,경기,안성시,장원1,완료,60 ,59 ,47 ,47 ,47 ,0 ,100 ,15 ,15 
일반,경기,안성시,월정,완료,59 ,59 ,42 ,42 ,42 ,0 ,100 ,5 ,5 
일반,경기,양주시,구암,완료,46 ,46 ,39 ,39 ,39 ,0 ,100 ,2 ,1 
일반,경기,양주시,남면,완료,207 ,207 ,148 ,148 ,148 ,0 ,100 ,27 ,23 
일반,경기,양주시,도하,완료,67 ,67 ,57 ,57 ,57 ,0 ,100 ,1 ,1 
일반,경기,양주시,상수,완료,59 ,59 ,48 ,48 ,48 ,0 ,100 ,10 ,10 
일반,경기,오산시,가장,완료,513 ,513 ,332 ,332 ,332 ,0 ,100 ,42 ,39 
일반,경기,파주시,문발1,완료,50 ,50 ,30 ,30 ,30 ,0 ,100 ,16 ,16 
일반,경기,파주시,문발2,완료,206 ,206 ,164 ,164 ,164 ,0 ,100 ,17 ,17 
일반,경기,파주시,신촌,완료,190 ,190 ,120 ,120 ,120 ,0 ,100 ,80 ,67 
일반,경기,파주시,오산,완료,232 ,232 ,171 ,171 ,171 ,0 ,100 ,77 ,70 
일반,경기,파주시,축현,완료,298 ,298 ,186 ,186 ,186 ,0 ,100 ,107 ,91 
일반,경기,파주시,파주LCD,완료,1741 ,1741 ,1120 ,1120 ,1120 ,0 ,100 ,8 ,7 
일반,경기,파주시,법원2,완료,330 ,330 ,208 ,208 ,208 ,0 ,100 ,35 ,22 
일반,경기,평택시,고덕국제화계획지구,완료,3906 ,3906 ,2842 ,2842 ,2842 ,0 ,100 ,1 ,1 
일반,경기,평택시,어연한산,완료,690 ,690 ,463 ,463 ,463 ,0 ,100 ,34 ,30 
일반,경기,평택시,오성(외국인),완료,601 ,600 ,329 ,329 ,329 ,0 ,100 ,6 ,5 
일반,경기,평택시,장당,완료,150 ,150 ,142 ,142 ,142 ,0 ,100 ,5 ,5 
일반,경기,평택시,진위,완료,486 ,485 ,257 ,257 ,257 ,0 ,100 ,17 ,17 
일반,경기,평택시,추팔,완료,610 ,610 ,414 ,414 ,414 ,0 ,100 ,32 ,32 
일반,경기,평택시,칠괴,완료,641 ,641 ,495 ,495 ,495 ,0 ,100 ,16 ,15 
일반,경기,평택시,평택,완료,535 ,534 ,407 ,407 ,407 ,0 ,100 ,64 ,62 
일반,경기,평택시,현곡,완료,723 ,723 ,501 ,501 ,459 ,42 ,92 ,27 ,27 
일반,경기,포천시,신평,완료,57 ,57 ,43 ,43 ,43 ,0 ,100 ,9 ,9 
일반,경기,포천시,양문,완료,180 ,180 ,106 ,106 ,97 ,9 ,92 ,52 ,52 
일반,경기,화성시,동탄,완료,1974 ,1951 ,946 ,946 ,946 ,0 ,100 ,425 ,342 
일반,경기,화성시,마도,완료,929 ,929 ,587 ,587 ,587 ,0 ,100 ,282 ,176 
일반,경기,화성시,발안,완료,1839 ,1815 ,1292 ,1292 ,1292 ,0 ,100 ,543 ,385 
일반,경기,화성시,장안첨단(1)(외국인),완료,602 ,602 ,443 ,443 ,443 ,0 ,100 ,14 ,14 
일반,경기,화성시,장안첨단(2)(외국인),완료,614 ,614 ,331 ,331 ,331 ,0 ,100 ,8 ,7 
일반,경기,화성시,전곡해양,완료,1617 ,1617 ,975 ,975 ,975 ,0 ,100 ,302 ,237 
일반,경기,화성시,팔탄(한미약품),완료,80 ,80 ,59 ,59 ,59 ,0 ,100 ,1 ,1 
일반,경기,화성시,향남제약,완료,648 ,644 ,460 ,460 ,460 ,0 ,100 ,51 ,49 
일반,경기,화성시,화남,조성중,149 ,149 ,110 ,110 ,110 ,0 ,100 ,40 ,35 
일반,경기,화성시,화성,조성중,960 ,960 ,562 ,562 ,562 ,0 ,100 ,1 ,1 
일반,경기,연천군,장남,완료,99 ,87 ,62 ,62 ,62 ,0 ,100 ,1 ,1 
일반,경기,연천군,청산대전,완료,188 ,188 ,122 ,122 ,122 ,0 ,100 ,23 ,22 
일반,경기,파주시,적성,완료,600 ,601 ,423 ,423 ,423 ,0 ,100 ,96 ,86 
일반,경기,김포시,한강시네폴리스,조성중,1121 ,1121 ,433 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,이천시,장호원,완료,60 ,59 ,44 ,44 ,44 ,0 ,100 ,11 ,10 
일반,경기,이천시,설성,완료,48 ,48 ,33 ,33 ,33 ,0 ,100 ,7 ,5 
일반,경기,이천시,모가,완료,60 ,60 ,43 ,43 ,43 ,0 ,100 ,2 ,1 
일반,경기,여주시,삼교,완료,56 ,56 ,36 ,36 ,36 ,0 ,100 ,2 ,2 
일반,경기,안성시,지문,완료,177 ,176 ,141 ,141 ,141 ,0 ,100 ,0 ,0 
일반,경기,김포시,학운4,완료,492 ,491 ,325 ,325 ,325 ,0 ,100 ,172 ,168 
일반,경기,양주시,홍죽,완료,586 ,582 ,352 ,352 ,352 ,0 ,100 ,85 ,84 
일반,경기,오산시,가장2,완료,595 ,595 ,401 ,401 ,401 ,0 ,100 ,70 ,63 
일반,경기,이천시,신둔,완료,39 ,39 ,25 ,25 ,25 ,0 ,100 ,2 ,2 
일반,경기,평택시,고렴,완료,265 ,265 ,196 ,196 ,126 ,70 ,64 ,9 ,9 
일반,경기,포천시,용정,완료,947 ,947 ,631 ,631 ,631 ,0 ,100 ,123 ,81 
일반,경기,평택시,LG Digital Park,완료,125 ,125 ,99 ,99 ,99 ,0 ,100 ,1 ,1 
일반,경기,화성시,경기화성바이오밸리,완료,1740 ,1740 ,1133 ,1133 ,1133 ,0 ,100 ,317 ,227 
일반,경기,화성시,안녕일반산업단지(구: 한강씨엠),조성중,51 ,50 ,25 ,0 ,0 ,0 ,0 ,1 ,1 
일반,경기,김포시,학운3,완료,958 ,958 ,584 ,584 ,584 ,0 ,100 ,300 ,287 
일반,경기,시흥시,매화,조성중,376 ,376 ,199 ,199 ,199 ,0 ,100 ,574 ,574 
일반,경기,용인시,원삼,조성중,109 ,109 ,88 ,88 ,0 ,88 ,0 ,6 ,4 
일반,경기,평택시,진위2,완료,956 ,956 ,644 ,644 ,644 ,0 ,100 ,33 ,13 
일반,경기,군포시,군포첨단,완료,288 ,287 ,160 ,160 ,160 ,0 ,100 ,84 ,84 
일반,경기,포천시,장자(구 신평3리),완료,484 ,484 ,268 ,268 ,173 ,95 ,65 ,79 ,53 
일반,경기,이천시,대월,완료,60 ,60 ,44 ,44 ,44 ,0 ,100 ,7 ,5 
일반,경기,남양주시,광릉테크노밸리(구 팔야),완료,209 ,205 ,107 ,107 ,107 ,0 ,100 ,36 ,31 
일반,경기,연천군,백학통구,완료,84 ,84 ,66 ,66 ,66 ,0 ,100 ,1 ,1 
일반,경기,용인시 처인구,제일바이오,완료,59 ,59 ,51 ,51 ,51 ,0 ,100 ,2 ,2 
일반,경기,남양주시,금곡,완료,130 ,130 ,72 ,72 ,72 ,0 ,100 ,33 ,32 
일반,경기,남양주시,진관,완료,142 ,142 ,98 ,98 ,98 ,0 ,100 ,64 ,64 
일반,경기,수원시,수원델타플렉스(1블록)(구 수원1),완료,287 ,287 ,154 ,154 ,154 ,0 ,100 ,396 ,396 
일반,경기,수원시,수원델타플렉스(2블록)(구 수원2),완료,123 ,121 ,70 ,70 ,70 ,0 ,100 ,63 ,63 
일반,경기,수원시,수원델타플렉스(3블록)(구 수원3),완료,847 ,847 ,577 ,577 ,577 ,0 ,100 ,638 ,638 
일반,경기,안성시,개정지방,완료,209 ,209 ,154 ,154 ,154 ,0 ,100 ,13 ,12 
일반,경기,양주시,검준,완료,145 ,145 ,88 ,88 ,88 ,0 ,100 ,56 ,52 
일반,경기,의정부시,용현,완료,346 ,345 ,210 ,210 ,210 ,0 ,100 ,132 ,132 
일반,경기,파주시,당동(외국인),완료,641 ,641 ,239 ,239 ,239 ,0 ,100 ,5 ,5 
일반,경기,파주시,선유,완료,1313 ,1313 ,695 ,695 ,695 ,0 ,100 ,125 ,111 
일반,경기,파주시,금파,완료,78 ,78 ,50 ,50 ,50 ,0 ,100 ,12 ,12 
일반,경기,파주시,월롱,완료,837 ,837 ,574 ,574 ,574 ,0 ,100 ,3 ,3 
일반,경기,파주시,탄현,완료,123 ,123 ,84 ,84 ,84 ,0 ,100 ,53 ,52 
일반,경기,파주시,법원1,미개발,303 ,303 ,164 ,0 ,0 ,0 ,0 ,0 ,0 
일반,경기,평택시,송탄,완료,1086 ,1086 ,787 ,787 ,787 ,0 ,100 ,141 ,139 
일반,경기,평택시,포승(2),완료,627 ,626 ,420 ,420 ,368 ,52 ,88 ,7 ,7 
일반,경기,가평군,목동,완료,60 ,60 ,48 ,48 ,48 ,0 ,100 ,14 ,11 
일반,경기,여주시,장안,완료,59 ,58 ,44 ,44 ,44 ,0 ,100 ,1 ,1 
일반,경기,여주시,강천,완료,58 ,58 ,38 ,38 ,38 ,0 ,100 ,7 ,6 
일반,경기,연천군,백학,완료,439 ,439 ,260 ,260 ,260 ,0 ,100 ,58 ,43 
일반,경기,파주시,파주스튜디오시티일반산업단지(구:월롱2),조성중,119 ,119 ,75 ,75 ,65 ,10 ,87 ,2 ,0 
일반,경기,화성시,주곡,조성중,200 ,200 ,141 ,141 ,141 ,0 ,100 ,30 ,26 
일반,경기,이천시,도암,완료,60 ,60 ,47 ,47 ,47 ,0 ,100 ,7 ,7 
일반,경기,이천시,도드람,완료,52 ,52 ,42 ,42 ,42 ,0 ,100 ,1 ,1 
일반,경기,여주시,남여주,완료,71 ,56 ,40 ,40 ,40 ,0 ,100 ,7 ,2 
